s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load
145676.1018	30:27:56	56104.20	74981.59	56088.44	56093.72	220013.26	208300.82	0.00
82096.6466	22:48:16	61172.51	74997.54	62087.72	62092.95	50507.26	209570.75	0.00
62222.2732	17:17:02	71424.45	75269.68	72491.05	72496.30	48859.73	207487.13	0.00
53109.0386	14:45:09	57598.53	75285.56	57585.14	57589.93	49112.62	208900.90	0.00
47020.5308	13:03:40	74536.04	75365.38	74520.52	74525.80	50075.92	208199.24	0.00
41740.9191	11:35:40	64001.67	90652.37	64776.30	64781.62	218763.03	207886.73	0.00
38524.7122	10:42:04	71753.52	75717.41	73244.57	73249.91	219272.55	208356.37	0.00
36209.1667	10:03:29	74536.30	75925.43	74520.79	74526.07	50279.47	208869.33	0.00
33125.8070	9:12:05	74535.46	83614.64	74519.63	74524.96	50090.11	208371.69	0.00
32808.8111	9:06:48	93691.14	96227.48	93777.02	93781.79	220298.46	208440.29	0.00
