s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load
122678.9910	34:04:38	64826.17	109984.51	64477.37	64479.45	189712.41	170840.89	0.00
71621.4812	19:53:41	67992.38	110024.84	67240.65	67243.27	34088.26	169698.45	0.00
53874.2107	14:57:54	69549.79	109986.74	69184.00	69186.61	33644.74	170801.00	0.00
46691.0892	12:58:11	73002.61	110463.23	72820.89	72823.67	33307.81	169597.68	0.00
39764.4680	11:02:44	77202.93	110477.02	77020.05	77022.53	33544.26	169716.29	0.00
36559.5331	10:09:19	78316.55	110726.43	77801.28	77803.51	174365.92	168268.79	0.00
33196.6144	9:13:16	81546.33	110671.73	81399.94	81402.09	177156.23	170816.68	0.00
30835.6131	8:33:55	89567.33	110513.84	89530.48	89532.55	37488.04	165974.32	0.00
29345.3516	8:09:05	86754.37	110821.68	86696.11	86698.65	34328.27	168188.86	0.00
28484.7376	7:54:44	87562.87	110804.93	87286.76	87289.62	190544.74	169877.88	0.00
