s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load
38026.1731	10:33:46	34315.46	34424.85	34309.04	34310.81	86884.60	97330.05	0.00
25650.7478	7:07:30	34778.14	34959.06	34771.98	34774.04	245359.00	96303.10	0.00
24371.8477	6:46:11	35412.38	35590.65	35406.40	35408.13	245364.26	95383.89	0.00
23879.1216	6:37:59	36365.30	36601.46	36360.31	36362.01	238154.93	94393.59	0.00
22639.9817	6:17:19	37220.58	37715.05	37215.08	37216.91	241824.37	96305.41	0.00
22754.5921	6:19:14	37487.00	37719.02	37481.82	37483.62	72248.01	92742.23	0.00
24110.0748	6:41:50	37634.31	38109.12	37733.07	37734.88	73780.05	93507.19	0.00
20563.3378	5:42:43	38357.22	38734.26	38352.52	38354.41	241670.92	94471.71	0.00
26187.9162	7:16:27	38142.00	38624.11	38137.00	38138.84	244470.42	95512.69	0.00
20580.7404	5:43:00	38734.95	39168.96	38730.63	38732.53	76843.90	96333.09	0.00
