s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load
77590.9825	21:33:10	5169.61	5342.84	5143.52	5153.21	3119.85	3545.47	0.00
41328.9547	11:28:48	8474.82	8813.98	8439.54	8449.47	412.69	3539.66	0.00
31056.3574	8:37:36	12117.15	12601.90	12072.62	12082.64	415.83	3554.78	0.00
24595.5530	6:49:55	15157.62	15819.09	15103.17	15113.29	416.18	3559.34	0.00
20423.4400	5:40:23	18350.65	19142.78	18287.52	18297.59	404.34	3564.20	0.00
18305.2274	5:05:05	19352.18	20314.70	19280.72	19290.80	3069.17	3527.64	0.00
16838.4108	4:40:38	23971.00	25094.63	23889.96	23900.10	3018.51	3506.83	0.00
14323.3162	3:58:43	25381.38	26632.02	25290.50	25300.64	367.56	3498.43	0.00
13647.9105	3:47:27	30841.43	32269.07	30741.37	30751.44	407.69	3522.42	0.00
12409.1302	3:26:49	32621.00	34179.86	32513.45	32523.63	3077.66	3525.20	0.00
