s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load
841.8007	0:14:01	254.46	3048.87	248.87	250.71	7220.39	1.64	0.00
979.3600	0:16:19	261.41	3125.92	256.06	258.06	0.00	1.70	0.00
842.2979	0:14:02	250.58	3048.87	245.54	247.34	56.72	3.79	0.00
841.4567	0:14:01	247.00	3114.01	241.92	243.76	0.00	1.62	0.00
897.7024	0:14:57	250.26	3048.87	244.46	246.40	47.78	1.67	0.00
855.4771	0:14:15	250.79	3048.87	245.92	247.75	7175.36	1.61	0.00
915.2280	0:15:15	273.80	3125.92	268.23	270.26	7170.56	1.67	0.00
800.8371	0:13:20	250.41	3048.87	245.43	247.28	47.98	1.93	0.00
841.3120	0:14:01	250.76	3048.87	245.33	247.17	0.00	1.83	0.00
914.7764	0:15:14	282.43	3125.92	277.54	279.44	7145.91	1.67	0.00
