s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load
5516.3965	1:31:56	19823.16	20199.05	19808.85	19814.30	27745.11	27771.10	0.00
3649.7413	1:00:49	19790.91	20310.61	19776.66	19782.10	9378.21	27804.96	0.00
3116.9505	0:51:56	19804.25	20468.06	19789.88	19795.27	9400.25	27732.65	0.00
2889.8596	0:48:09	19684.93	20438.04	19671.31	19676.86	9400.25	27834.59	0.00
2761.8263	0:46:01	19685.91	20581.36	19672.11	19677.79	0.05	27884.37	0.00
2461.6521	0:41:01	19698.44	20723.93	19692.28	19694.30	27887.21	27866.48	0.00
2368.4524	0:39:28	19705.93	20869.37	19692.31	19697.91	18584.73	27893.61	0.00
2356.6131	0:39:16	19722.03	21013.38	19710.06	19715.53	0.05	27759.27	0.00
2273.7432	0:37:53	19726.97	21157.39	19714.06	19719.46	0.05	27893.85	0.00
2239.1661	0:37:19	19730.29	21300.29	19717.54	19722.95	18270.12	27746.04	0.00
