s	h:m:s	max_rss	max_vms	max_uss	max_pss	io_in	io_out	mean_load
2126.3974	0:35:26	10381.80	36030.08	10378.68	10380.63	0.11	7976.90	0.00
2145.1216	0:35:45	2950.77	36159.94	2947.77	2949.74	0.41	7969.00	0.00
2053.8680	0:34:13	2051.91	36290.09	2049.23	2051.18	10593.26	7976.67	0.00
2146.8675	0:35:46	1739.21	36419.96	1736.50	1738.46	0.52	7964.83	0.00
2209.8575	0:36:49	1904.81	36550.10	1903.04	1905.03	10659.99	8068.16	0.00
1949.6976	0:32:29	10459.40	36680.11	10457.70	10459.67	10688.45	8042.93	0.00
1937.8147	0:32:17	9587.05	36810.12	9584.66	9586.64	10601.44	7971.11	0.00
2171.2719	0:36:11	3450.95	36940.12	3449.87	3451.78	10599.85	7986.00	0.00
2126.8410	0:35:26	4427.85	37070.13	4426.11	4428.08	0.66	8048.94	0.00
2014.6330	0:33:34	11420.96	37200.15	11419.59	11421.52	0.78	8037.77	0.00
